,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
217,0,2,male,0.6539792387543253,1,0,0.38961038961038963,S,Second,man,True,Southampton,no,False,1
219,0,2,male,0.4652406417112299,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
220,1,3,male,0.24504561182761875,0,0,0.11616161616161617,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,0.4180559924504561,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
222,0,3,male,0.7955331865366467,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
225,0,3,male,0.3394149103491664,0,0,0.1349206349206349,S,Third,man,True,Southampton,no,True,0
226,1,2,male,0.29223026108839256,0,0,0.15151515151515152,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,0.31582258571877947,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,0
228,0,2,male,0.27650204466813466,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
231,0,3,male,0.449512425290972,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,0
232,0,2,male,0.9213589178987103,0,0,0.19480519480519481,S,Second,man,True,Southampton,no,True,0
233,1,3,female,0.07203523120478138,4,2,0.4529220779220779,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,0.3708713431896823,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
236,0,2,male,0.6854356715948411,1,0,0.37518037518037517,S,Second,man,True,Southampton,no,False,1
237,1,2,female,0.1192198804655552,0,2,0.3787878787878788,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,0.29223026108839256,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
239,0,2,male,0.5124252909720037,0,0,0.17712842712842713,S,Second,man,True,Southampton,no,True,0
242,0,2,male,0.449512425290972,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
243,0,3,male,0.3394149103491664,0,0,0.10281385281385282,S,Third,man,True,Southampton,no,True,0
244,0,3,male,0.4652406417112299,0,0,0.10425685425685426,C,Third,man,True,Cherbourg,no,True,0
246,0,3,female,0.38659955960994025,0,0,0.11219336219336219,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,0.3708713431896823,0,2,0.20923520923520925,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,0.5753381566530356,1,1,0.7583578643578643,S,First,man,True,Southampton,yes,False,2
249,0,2,male,0.8427178357974205,1,0,0.37518037518037517,S,Second,man,True,Southampton,no,False,1
251,0,3,female,0.449512425290972,1,1,0.15097402597402598,S,Third,woman,False,Southampton,no,False,2
252,0,1,male,0.9685435671594841,0,0,0.38311688311688313,S,First,man,True,Southampton,no,True,0
253,0,3,male,0.4652406417112299,1,0,0.23232323232323235,S,Third,man,True,Southampton,no,False,1
254,0,3,female,0.6382510223340673,0,2,0.29166666666666663,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,0.449512425290972,0,2,0.219997113997114,C,Third,woman,False,Cherbourg,yes,False,2
259,1,2,female,0.7798049701163888,0,1,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,1
261,1,3,male,0.04057879836426549,4,2,0.4529220779220779,S,Third,child,False,Southampton,yes,False,6
263,0,1,male,0.6225228059138094,0,0,0.0,S,First,man,True,Southampton,no,True,0
265,0,2,male,0.5596099402327777,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
266,0,3,male,0.24504561182761875,4,1,0.5726911976911977,S,Third,man,True,Southampton,no,False,5
267,1,3,male,0.38659955960994025,1,0,0.11219336219336219,S,Third,man,True,Southampton,yes,False,1
271,1,3,male,0.38659955960994025,0,0,0.0,S,Third,man,True,Southampton,yes,True,0
272,1,2,female,0.6382510223340673,0,1,0.2813852813852814,S,Second,woman,False,Southampton,yes,False,1
273,0,1,male,0.5753381566530356,0,1,0.42857142857142855,C,First,man,True,Cherbourg,no,False,1
276,0,3,female,0.7011638880150991,0,0,0.11183261183261184,S,Third,woman,False,Southampton,no,True,0
278,0,3,male,0.10349166404529726,4,1,0.4202741702741703,Q,Third,child,False,Queenstown,no,False,5
279,1,3,female,0.5438817238125196,1,1,0.2922077922077922,S,Third,woman,False,Southampton,yes,False,2
281,0,3,male,0.43378420887071406,0,0,0.11333621933621933,S,Third,man,True,Southampton,no,True,0
282,0,3,male,0.24504561182761875,0,0,0.1370851370851371,S,Third,man,True,Southampton,no,True,0
283,1,3,male,0.29223026108839256,0,0,0.11616161616161617,S,Third,man,True,Southampton,yes,True,0
285,0,3,male,0.5124252909720037,0,0,0.125,C,Third,man,True,Cherbourg,no,True,0
286,1,3,male,0.4652406417112299,0,0,0.1370851370851371,S,Third,man,True,Southampton,yes,True,0
287,0,3,male,0.3394149103491664,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
288,1,2,male,0.6539792387543253,0,0,0.18759018759018758,S,Second,man,True,Southampton,yes,True,0
289,1,3,female,0.3394149103491664,0,0,0.11183261183261184,Q,Third,woman,False,Queenstown,yes,True,0
292,0,2,male,0.5596099402327777,0,0,0.18578643578643578,C,Second,man,True,Cherbourg,no,True,0
293,0,3,female,0.3708713431896823,0,0,0.1277056277056277,S,Third,woman,False,Southampton,no,True,0
294,0,3,male,0.3708713431896823,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
296,0,3,male,0.36300723497955334,0,0,0.10431746031746031,C,Third,man,True,Cherbourg,no,True,0
302,0,3,male,0.29223026108839256,0,0,0.0,S,Third,man,True,Southampton,no,True,0
308,0,2,male,0.4652406417112299,1,0,0.3463203463203463,C,Second,man,True,Cherbourg,no,False,1
309,1,1,female,0.4652406417112299,0,0,0.8214891774891775,C,First,woman,False,Cherbourg,yes,True,0
312,0,2,female,0.4023277760301982,1,1,0.37518037518037517,S,Second,woman,False,Southampton,no,False,2
314,0,2,male,0.6697074551745832,1,1,0.3787878787878788,S,Second,man,True,Southampton,no,False,2
315,1,3,female,0.4023277760301982,0,0,0.11333621933621933,S,Third,woman,False,Southampton,yes,True,0
316,1,2,female,0.3708713431896823,1,0,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,1
317,0,2,male,0.8427178357974205,0,0,0.20202020202020202,S,Second,man,True,Southampton,no,True,0
321,0,3,male,0.4180559924504561,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
322,1,2,female,0.4652406417112299,0,0,0.1782106782106782,Q,Second,woman,False,Queenstown,yes,True,0
323,1,2,female,0.3394149103491664,1,1,0.4184704184704185,S,Second,woman,False,Southampton,yes,False,2
326,0,3,male,0.9528153507392262,0,0,0.09000721500721501,S,Third,man,True,Southampton,no,True,0
327,1,2,female,0.5596099402327777,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,0
328,1,3,female,0.4809688581314879,1,1,0.29617604617604615,S,Third,woman,False,Southampton,yes,False,2
329,1,1,female,0.24504561182761875,0,1,0.8366406926406926,C,First,woman,False,Cherbourg,yes,False,1
331,0,1,male,0.709027996225228,0,0,0.41125541125541126,S,First,man,True,Southampton,no,True,0
333,0,3,male,0.24504561182761875,2,0,0.2597402597402597,S,Third,man,True,Southampton,no,False,2
336,0,1,male,0.449512425290972,1,0,0.9610389610389609,S,First,man,True,Southampton,no,False,1
338,1,3,male,0.7011638880150991,0,0,0.11616161616161617,S,Third,man,True,Southampton,yes,True,0
339,0,1,male,0.7011638880150991,0,0,0.5122655122655123,S,First,man,True,Southampton,no,True,0
340,1,2,male,0.02485058194400755,1,1,0.37518037518037517,S,Second,child,False,Southampton,yes,False,2
342,0,2,male,0.43378420887071406,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
344,0,2,male,0.5596099402327777,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
345,1,2,female,0.3708713431896823,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,0
346,1,2,female,0.6225228059138094,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,0
348,1,3,male,0.04057879836426549,1,1,0.22943722943722944,S,Third,child,False,Southampton,yes,False,2
349,0,3,male,0.6539792387543253,0,0,0.125,S,Third,man,True,Southampton,no,True,0
350,0,3,male,0.35514312676942433,0,0,0.1331168831168831,S,Third,man,True,Southampton,no,True,0
352,0,3,male,0.2293173954073608,1,1,0.10431746031746031,C,Third,child,False,Cherbourg,no,False,2
353,0,3,male,0.38659955960994025,1,0,0.2568542568542569,S,Third,man,True,Southampton,no,False,1
356,1,1,female,0.3394149103491664,0,1,0.7936507936507936,S,First,woman,False,Southampton,yes,False,1
357,0,2,female,0.5910663730732935,0,0,0.18759018759018758,S,Second,woman,False,Southampton,no,True,0
360,0,3,male,0.6225228059138094,1,4,0.40259740259740256,S,Third,man,True,Southampton,no,False,5
361,0,2,male,0.449512425290972,1,0,0.40001154401154404,C,Second,man,True,Cherbourg,no,False,1
362,0,3,female,0.7011638880150991,0,1,0.20857431457431458,C,Third,woman,False,Cherbourg,no,False,1
363,0,3,male,0.5438817238125196,0,0,0.10173160173160173,S,Third,man,True,Southampton,no,True,0
365,0,3,male,0.4652406417112299,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,0
369,1,1,female,0.3708713431896823,0,0,1.0,C,First,woman,False,Cherbourg,yes,True,0
370,1,1,male,0.38659955960994025,1,0,0.800024531024531,C,First,man,True,Cherbourg,yes,False,1
371,0,3,male,0.27650204466813466,1,0,0.09373448773448774,S,Third,man,True,Southampton,no,False,1
372,0,3,male,0.29223026108839256,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
374,0,3,female,0.04057879836426549,3,1,0.3041125541125541,S,Third,child,False,Southampton,no,False,4
376,1,3,female,0.3394149103491664,0,0,0.10461760461760462,S,Third,woman,False,Southampton,yes,True,0
378,0,3,male,0.3079584775086505,0,0,0.057900432900432904,C,Third,man,True,Cherbourg,no,True,0
379,0,3,male,0.29223026108839256,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,0
381,1,3,female,0.009122365523749607,0,2,0.22715295815295816,C,Third,child,False,Cherbourg,yes,False,2
382,0,3,male,0.49669707455174583,0,0,0.11435786435786435,S,Third,man,True,Southampton,no,True,0
383,1,1,female,0.5438817238125196,1,0,0.7503607503607503,S,First,woman,False,Southampton,yes,False,1
386,0,3,male,0.009122365523749607,5,2,0.6767676767676768,S,Third,child,False,Southampton,no,False,7
389,1,2,female,0.2607738282478767,0,0,0.17316017316017315,C,Second,woman,False,Cherbourg,yes,True,0
391,1,3,male,0.3236866939289085,0,0,0.11249350649350649,S,Third,man,True,Southampton,yes,True,0
392,0,3,male,0.43378420887071406,2,0,0.11435786435786435,S,Third,man,True,Southampton,no,False,2
394,1,3,female,0.3708713431896823,0,2,0.24098124098124096,S,Third,woman,False,Southampton,yes,False,2
395,0,3,male,0.3394149103491664,0,0,0.11249350649350649,S,Third,man,True,Southampton,no,True,0
396,0,3,female,0.4809688581314879,0,0,0.11333621933621933,S,Third,woman,False,Southampton,no,True,0
397,0,2,male,0.716892104435357,0,0,0.37518037518037517,S,Second,man,True,Southampton,no,True,0
398,0,2,male,0.35514312676942433,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
399,1,2,female,0.43378420887071406,0,0,0.18253968253968256,S,Second,woman,False,Southampton,yes,True,0
400,1,3,male,0.6067945894935515,0,0,0.11435786435786435,S,Third,man,True,Southampton,yes,True,0
401,0,3,male,0.4023277760301982,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
402,0,3,female,0.3236866939289085,1,0,0.14177489177489178,S,Third,woman,False,Southampton,no,False,1
403,0,3,male,0.43378420887071406,1,0,0.2287157287157287,S,Third,man,True,Southampton,no,False,1
404,0,3,female,0.3079584775086505,0,0,0.125,S,Third,woman,False,Southampton,no,True,0
405,0,2,male,0.5281535073922617,1,0,0.30303030303030304,S,Second,man,True,Southampton,no,False,1
406,0,3,male,0.7955331865366467,0,0,0.11183261183261184,S,Third,man,True,Southampton,no,True,0
407,1,2,male,0.04057879836426549,1,1,0.27056277056277056,S,Second,child,False,Southampton,yes,False,2
408,0,3,male,0.3236866939289085,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,0
414,1,3,male,0.6854356715948411,0,0,0.11435786435786435,S,Third,man,True,Southampton,yes,True,0
416,1,2,female,0.5281535073922617,1,1,0.468975468975469,S,Second,woman,False,Southampton,yes,False,2
